Å°,¸ö¹«°Ô
125.8,27.3
124.3,25.4
119.2,23.5
115,20
120,33.5
112.5,21
126.7,25.8
118.8,25
118.7,23.4
117.4,22
118.4,22
123.3,22
114.5,22.8
119.7,23.3
123.6,27.3
117.2,20.6
126.7,30.4
118.8,19.8
119.9,21.3
121.5,22
122,22.6
120.3,21.3
130,29
118.3,27.1
121.2,20.7
120,20.6
120.9,24.2
120.7,26.3
118,22.7
127.3,24.1
120,29
120.8,23.5
116.2,18.9
125,24.5
118.2,21
121.7,20.7
128.8,30.4
123.6,24
128.6,29.6
126.6,26.8
131.9,38.3
135.9,38.1
128.6,31.6
124.7,25.2
126.9,26.2
130.1,34.6
124.4,22.5
131.3,24.6
120.9,22.2
130,24.2
128.2,37
130,33.3
129.7,29.6
122.2,22.9
133.8,25.3
131.3,28.9
121,24.8
132.7,26.1
133.1,29
126.3,24.7
124.9,25.8
130.2,32.3
133.1,30.9
129.4,23.9
127.7,26
127.8,32.1
128.7,27.8
130.3,27.8
125.9,20.9
124,23.9
124.7,25.5
130.4,35.7
125.9,36.2
129.1,27.7
134.4,29.6
140.4,30.5
140.2,36.3
128.1,22.8
132.2,30.4
134,29.1
143.3,37.5
133.2,41.3
136.8,28.2
122.5,21.3
140.7,32.2
142.3,41.8
129.1,28.8
130.4,32.2
130.4,32.2
129.2,26.6
131.8,32.3
124.8,21.3
129.5,26.3
129.3,25
140.1,34.7
144.8,31.9
128.9,27.2
132.7,26.1
131.3,30.8
137.2,34.8
129.7,25.2
131.7,37.2
134.2,26.1
134.8,37.2
138.8,28.9
135.8,28.9
136.4,33.6
123.7,22.1
135.4,32.9
129.5,29
142.1,35
135.7,27.2
134.7,29.9
145.3,52.2
125.6,27.3
127.3,25.4
141,45
133.5,37.5
130.4,32.2
140.1,36.7
137.1,34.4
140,55
136.2,48
144.2,50
131.9,29.9
147.5,43.3
143,31
132.3,28.4
137,29.2
141.3,41.6
142,50
149.1,60.8
132,30
132.7,31.7
151.2,51.5
137.6,31.7
137.8,27
145.3,33.6
141.8,32.5
132.3,25.3
139.3,30.3
136,35.4
131.6,30.5
131.2,35.6
138,32
140,48.5
137.2,30.3
137,34
130.7,29.4
148.9,40.5
141.6,35.6
124.9,27.5
133.6,29.1
150.1,40.5
140.2,34.1
141.7,35.3
144.9,34.2
145.6,35.5
148.8,48.8
143,30.8
146.5,51.5
153,61.1
156,49.8
155.2,50.4
139.7,32.2
141.6,38.7
139.7,35.6
144.6,39.5
141.1,44
142.6,45.6
142,35.3
148.3,46.1
147,48
143.9,37.3
157.4,59
133.4,26.7
150.7,43.5
142.5,37.3
144.3,33.1
148.9,40.1
141.5,35.4
143.8,43.9
145,31.5
143.8,43.9
144.1,32.4
144.2,43.8
144.1,35.2
139.3,38.7
159.8,61.5
147.7,44.5
150.7,39.8
154.1,40.2
143.5,45.6
149.3,32.4
144.3,36.8
144.5,48.3
143.4,46.3
147.6,43.5
150.6,39.1
144.8,46.8
151.5,45.8
153.9,44
142.1,34.5
156,45.4
160.7,57.5
149.4,44.2
161.5,61.9
151,40
147,34.3
164,54.5
154.8,43.5
152.7,45.4
151.4,38.2
154,50.8
147.1,37.7
148.1,32.3
150.7,51.2
161.5,46.7
150.6,55.9
153.7,43.4
135.8,24.2
130.4,25
121.3,21
121.3,21.1
118.6,23.1
129.7,31
113.4,17.9
119.3,21.9
124.7,26.3
114.3,18
126.1,25.2
